t,x_L,x_R
0.0,1.0,6.123233995736766e-17
0.005,0.99133689679323,0.12466972877431723
0.01,0.9668284541139025,0.24727966683712138
0.015,0.9273501085622862,0.3660177773319813
0.02,0.8714623028218696,0.4780867172576812
0.025,0.800584810787492,0.5863367825057736
0.03,0.7184000104987299,0.6857109579051257
0.035,0.6239095397930197,0.7828513200766157
0.04,0.5218286427624933,0.8606742490969512
0.045,0.4081292191757384,0.9281040170774517
0.05,0.2829772703186949,0.9822167638119874
0.055,0.16445917331388787,1.0187429747774037
0.06,0.044613403655090256,1.034160465990077
0.065,-0.08295096294936168,1.0350817929922225
0.07,-0.20667714469514697,1.0291680955423896
0.075,-0.3349921017410337,1.0037093595137458
0.08,-0.44645881790914554,0.9585449388004194
0.085,-0.559751113990209,0.901020489248249
0.09,-0.6600176647122581,0.8236066751140756
0.095,-0.7541861512965706,0.736493783483691
0.1,-0.8308547664917292,0.6359009434997506
0.105,-0.9027745186033065,0.5257758986967095
0.11,-0.9540483946627368,0.4051679469531972
0.115,-0.9906909210641781,0.2863243714585762
0.12,-1.0161921948018962,0.16380622268366582
0.125,-1.0189097164670429,0.031194414863577102
0.13,-1.0034436742495998,-0.09357266978134601
0.135,-0.9728808388046992,-0.2229842777470792
0.14,-0.9300850577595757,-0.3560416605992457
0.145,-0.8724284792259903,-0.4825366378783074
0.15,-0.7994005203627297,-0.5942844027101362
0.155,-0.7163350170679359,-0.6953487503891526
0.16,-0.6166382982290475,-0.7920059796108626
0.165,-0.5006829037024382,-0.8734596165548494
0.17,-0.375274482372773,-0.9451876171425533
0.17500000000000002,-0.2576711800588347,-1.005236725760215
0.18,-0.12813273695615665,-1.045568633962589
0.185,-0.0014817781887196493,-1.063783175727308
0.19,0.13079477317423982,-1.0727712513829213
0.195,0.2638217597439158,-1.0576594167897864
0.2,0.3822446030299829,-1.03348534848377
0.20500000000000002,0.4970155027927241,-0.9908279633372669
0.21,0.6053152899494668,-0.9285588083565894
0.215,0.7059982786713848,-0.8614987523281692
0.22,0.7918935984680273,-0.7739772409614519
0.225,0.8726440663133755,-0.6773403516801892
0.23,0.9382596908459281,-0.5680010677051145
0.23500000000000001,0.9858224164877216,-0.4507087483504345
0.24,1.0091169120083667,-0.3256594606657653
0.245,1.0299674118349211,-0.1844690871518127
0.25,1.027365891851539,-0.04937959512469876
0.255,1.0071687320922225,0.09039965131849294
0.26,0.9739254923787706,0.22771586822030163
0.265,0.9253799025590399,0.3635733483498305
0.27,0.8642136006066506,0.4896038642500653
0.275,0.793805645721956,0.6150507118582952
0.28,0.7021668445216742,0.7272413612653884
0.28500000000000003,0.5985662482613516,0.8357858233783686
0.29,0.4867419673140728,0.9212067266086789
0.295,0.3684823974411838,0.9963326750913571
0.3,0.24422635402067777,1.0510149063186423
0.305,0.11326454594982853,1.0936580887259373
0.31,-0.016186867905878585,1.1208331801996818
0.315,-0.14649682768124855,1.124885379265958
0.32,-0.27801560488027416,1.1116936417134409
0.325,-0.4030240250402936,1.0840081252048408
0.33,-0.5236124712492146,1.037738233443564
0.335,-0.6381871272956585,0.9781502463497569
0.34,-0.7390779124569476,0.9048314982898
0.34500000000000003,-0.82368140874211,0.8132895170557167
0.35000000000000003,-0.8994222598343423,0.7107765781193992
0.355,-0.9655990126779024,0.5948831083912148
0.36,-1.0124084790222079,0.4685459162079614
0.365,-1.0337145010834665,0.33680653117993986
0.37,-1.0442909095785122,0.20036170194412986
0.375,-1.0397516728537013,0.05881878189784644
0.38,-1.018290871083999,-0.07821952650370072
0.385,-0.9757701068826162,-0.21428259376847258
0.39,-0.9283053135124896,-0.35392052044016326
0.395,-0.8630775486983135,-0.4879445060792514
0.4,-0.786828640582091,-0.6158184233000142
0.405,-0.6922967726350516,-0.7241148125287021
0.41000000000000003,-0.5914351714924537,-0.8325971868971266
0.41500000000000004,-0.4739582145172301,-0.9326417740689599
0.42,-0.3422817190106065,-1.0078054501433207
0.425,-0.21008479121236256,-1.0767336177093378
0.43,-0.07180200927185575,-1.1274571471882133
0.435,0.06978202841790826,-1.1600163868678202
0.44,0.20460762769265906,-1.171106466036562
0.445,0.34216400591586577,-1.1635801814195463
0.45,0.4719668237610385,-1.1435499314362658
0.455,0.5953927938500531,-1.094646093946138
0.46,0.7069634084812092,-1.037696276987566
0.465,0.8083580119663416,-0.9649033121489988
0.47000000000000003,0.9037735751284957,-0.8708042466849535
0.47500000000000003,0.9752845311291926,-0.7681505942454828
